1.wav|otig is der weg, wss fihrt in stedtel arein.|otig is der weg, wss fihrt in stedtel arein.
1322.wav|di ale kuluss nehmen sich zuneuf z.in emen un heuben sich euf bis'n himel arein.|di ale kuluss nehmen sich zuneuf z.in emen un heuben sich euf bis'n himel arein.
1323.wav|un der stodtg iuk hgt alz nochanand geklungen un geklungen, wi er wolt gerolt beim feier rchmnuss erweken, warfen sich zu seine fiss k di'er klogen sich far di geheime kraft euf dem churbn, woss doss feier hot ongemacht.|un der stodtg iuk hgt alz nochanand geklungen un geklungen, wi er wolt gerolt beim feier rchmnuss erweken, warfen sich zu seine fiss k di'er klogen sich far di geheime kraft euf dem churbn, woss doss feier hot ongemacht.
1324.wav|bald is geworen a geschrei: di schuhl brent, di schuhl!|bald is geworen a geschrei: di schuhl brent, di schuhl!
1325.wav|un ess hot sich ongeheuben a geleuf fun ale seiten.|un ess hot sich ongeheuben a geleuf fun ale seiten.
1326.wav|tatess hoben di heus-gesinden awekgeworfen, mamess di seugedige kinder, ale hoben sich arum der kleiner schuhl arumgestelt.|tatess hoben di heus-gesinden awekgeworfen, mamess di seugedige kinder, ale hoben sich arum der kleiner schuhl arumgestelt.
1327.wav|ihe heuche fensster, woss seinen gewen gegeniber dem feier, hoben wi lichtige lamterness geleuchten.|ihe heuche fensster, woss seinen gewen gegeniber dem feier, hoben wi lichtige lamterness geleuchten.
1328.wav|iuden hoben gekrechzt, di hohr fun kop sich gerissen ; weiber hoben sich arum ihre brihendige wend arumgestelt, wi sei woltsch sei welen mit|iuden hoben gekrechzt, di hohr fun kop sich gerissen ; weiber hoben sich arum ihre brihendige wend arumgestelt, wi sei woltsch sei welen mit
1329.wav|seiere schirzen erstelen.|seiere schirzen erstelen.
1330.wav|a por iuden seinen gestanen ss gegossen emerlech wasser euf di heiss ongesengte wend|a por iuden seinen gestanen ss gegossen emerlech wasser euf di heiss ongesengte wend
1331.wav|doss feier hot ess mit a knak eussgetrunken, un genumen sich doss seinige tun.|doss feier hot ess mit a knak eussgetrunken, un genumen sich doss seinige tun.
1332.wav|geum seinen ongekumen zu leufen mit bossakess un hek, seinen mreuf euf dem schuhlida un genumen ihm reissen fun di wend.|geum seinen ongekumen zu leufen mit bossakess un hek, seinen mreuf euf dem schuhlida un genumen ihm reissen fun di wend.
1333.wav|fuden hoben sei bei di poless ongechapt, gebeten dchmnug di bossakess hoben doss dechel zuflikt, gerissen, un iedess stie blech, woss men hot fun dach arobgeschleidert, hot passen gerissen fun di iudische herzer.|fuden hoben sei bei di poless ongechapt, gebeten dchmnug di bossakess hoben doss dechel zuflikt, gerissen, un iedess stie blech, woss men hot fun dach arobgeschleidert, hot passen gerissen fun di iudische herzer.
1334.wav|in dem is der rb ongekumen zuleufen un mit greuss gewein is er zugelofen zu di schuhl-teueren.|in dem is der rb ongekumen zuleufen un mit greuss gewein is er zugelofen zu di schuhl-teueren.
1335.wav|er hot ferhakt di thiren, di loden un hot seine dare, bleiche hend eussgestekt, awekstupendik dem mschchiss.|er hot ferhakt di thiren, di loden un hot seine dare, bleiche hend eussgestekt, awekstupendik dem mschchiss.
1336.wav|doss feier is durch dem chch ger krossen, un bald is geworen a greuss gewein un geschrei: der dach!|doss feier is durch dem chch ger krossen, un bald is geworen a greuss gewein un geschrei: der dach!
1337.wav|un iuden hoben di thiren eufgepralt, di fensster eufgehakt un in schuhl arein.|un iuden hoben di thiren eufgepralt, di fensster eufgehakt un in schuhl arein.
1338.wav|do hot scheun der dach arum un arum geflakert.|do hot scheun der dach arum un arum geflakert.
1339.wav|in feier hot sich gehert, wi balkenss falen einer euf dem zweiten.|in feier hot sich gehert, wi balkenss falen einer euf dem zweiten.
1340.wav|doss brenendige feier hot sich mit a mohl mit'n kop kapeuer gestelt un hot fun unten-euss seine zungen geschikt, geschossen mit brenendige funken, mit stiker feier in der welt arein.|doss brenendige feier hot sich mit a mohl mit'n kop kapeuer gestelt un hot fun unten-euss seine zungen geschikt, geschossen mit brenendige funken, mit stiker feier in der welt arein.
1341.wav|fun an eufgehakt fensster hoben sich a reiss geton ruchuss schwarzer reuch, ein ruch is in zweiten mit'n kop arein, un hoben sich gerissen durch'n eussgehakten fensster in feier arein.|fun an eufgehakt fensster hoben sich a reiss geton ruchuss schwarzer reuch, ein ruch is in zweiten mit'n kop arein, un hoben sich gerissen durch'n eussgehakten fensster in feier arein.
1342.wav|euf a minut hoben sei ferschwarzt doss hele brenendige licht, bald ober hot der reuch sich durchgebrochen a weg un is mit a knakerei areuss fun feier in himel arein.|euf a minut hoben sei ferschwarzt doss hele brenendige licht, bald ober hot der reuch sich durchgebrochen a weg un is mit a knakerei areuss fun feier in himel arein.
1343.wav|un in dem gedichten schwarzen reuch fun eufgehakten fensster seinengefleugen gefleugen brenendige funken, hoben sich getrogen stiker feier.|un in dem gedichten schwarzen reuch fun eufgehakten fensster seinengefleugen gefleugen brenendige funken, hoben sich getrogen stiker feier.
1344.wav|un durch'n eufgehakten fensster hoben sich ongeheuben areusschapen iuden, in dem schwarzen reuch un in di schissende funken, areussratewendik wer a halb-naket ssfr-turh, wer an altentlihenden tlihenden tliss, wer a stik leichter un wer a bret fun run-|un durch'n eufgehakten fensster hoben sich ongeheuben areusschapen iuden, in dem schwarzen reuch un in di schissende funken, areussratewendik wer a halb-naket ssfr-turh, wer an altentlihenden tlihenden tliss, wer a stik leichter un wer a bret fun run-
1345.wav|kusch.|kusch.
1346.wav|un senen dermit in der schwarzer ncht ntrunen geworen.|un senen dermit in der schwarzer ncht ntrunen geworen.
1347.wav|di schuhl hot geflpk'ert.|di schuhl hot geflpk'ert.
1348.wav|ein wnr is reuf euf der zweiter.|ein wnr is reuf euf der zweiter.
1349.wav|fun in.weinig h.ot sich ieess mol gehert, wi doss fi ier wn.rft fun der heuch mit an.z.hun blk'sch, klezer, breter i inss euf dom zweite un esst si i mit seieree fi ier!ziggen.|fun in.weinig h.ot sich ieess mol gehert, wi doss fi ier wn.rft fun der heuch mit an.z.hun blk'sch, klezer, breter i inss euf dom zweite un esst si i mit seieree fi ier!ziggen.
1350.wav|un arum is a biterlich ge(wein fun di rumige weiber, kinder un mene,r.|un arum is a biterlich ge(wein fun di rumige weiber, kinder un mene,r.
1351.wav|men kreezt, mesi schreit, imen brecht di hend, sun der stohtchglok hot alz gehlingen un geklingen, wi er wolt gewolt bi im feie'r rchmnuss erweken.|men kreezt, mesi schreit, imen brecht di hend, sun der stohtchglok hot alz gehlingen un geklingen, wi er wolt gewolt bi im feie'r rchmnuss erweken.
1352.wav|wargfn sich far seine fiss, oder klogen such far der geh i i'me i kraft.|wargfn sich far seine fiss, oder klogen such far der geh i i'me i kraft.
1353.wav|doss fi ier ober hot di ale kuluss ,in sich ari ingenum:en un i'n iinem obgeksnsskt.|doss fi ier ober hot di ale kuluss ,in sich ari ingenum:en un i'n iinem obgeksnsskt.
1354.wav|doss schi s gewen a nzchun-u i.ss.geschrei fun'm mschchiss, woss is gekumen di game welt ziu farnichten.|doss schi s gewen a nzchun-u i.ss.geschrei fun'm mschchiss, woss is gekumen di game welt ziu farnichten.
1355.wav|greu un ernsst is der tog areuss euf'n himel, wi it eu.f'n horisont hot! e,rm.ochge.nssteren blutg genflkert in i in helischen schfei,gel, un si in reute.r ulnz hot sch.obkgeglegzt in di greue, lussehchi.ge mwkliem fun'm himel.|greu un ernsst is der tog areuss euf'n himel, wi it eu.f'n horisont hot! e,rm.ochge.nssteren blutg genflkert in i in helischen schfei,gel, un si in reute.r ulnz hot sch.obkgeglegzt in di greue, lussehchi.ge mwkliem fun'm himel.
1356.wav|e,ss hot eussgesehn, wi greue mwliessi wsser senen ge!kumen zuschswimen fun fre.mre imim, fun lichtige welten, un hoben sich eine noch der zwei itier in himel: f.rbnl.ondseet.|e,ss hot eussgesehn, wi greue mwliessi wsser senen ge!kumen zuschswimen fun fre.mre imim, fun lichtige welten, un hoben sich eine noch der zwei itier in himel: f.rbnl.ondseet.
1357.wav|un er moren luisch,t de-m neichgenbeure:neschmi suhn.|un er moren luisch,t de-m neichgenbeure:neschmi suhn.
1358.wav|hem iungen tog, woss sch'teiet aru im fun di greue guchliem wrsserr.|hem iungen tog, woss sch'teiet aru im fun di greue guchliem wrsserr.
1359.wav|ugescht.ihm ch'wlie t iss',,sswlie ein, as er sol schi inen, beleisst.en himel un er)d.|ugescht.ihm ch'wlie t iss',,sswlie ein, as er sol schi inen, beleisst.en himel un er)d.
1360.wav|un di gn!ze welt chot s'ir ge.weikti f!un rim lieben schlof.|un di gn!ze welt chot s'ir ge.weikti f!un rim lieben schlof.
1361.wav|di greslech, noch f'art.runiken in n.chtchtheu, hoben sich ongehu iben zu zihen gesg'en der sun; blume hoben euf.ge.efent si iere eu'gele,ch, si iere mi ilche'lech, un hoben fun sich areumgenheucht em blumen-rich, mit welchen si i hoben s'ir o gnze n'mt ongetrunken.|di greslech, noch f'art.runiken in n.chtchtheu, hoben sich ongehu iben zu zihen gesg'en der sun; blume hoben euf.ge.efent si iere eu'gele,ch, si iere mi ilche'lech, un hoben fun sich areumgenheucht em blumen-rich, mit welchen si i hoben s'ir o gnze n'mt ongetrunken.
1362.wav|lz, alz d.ot sich gewekt di wilt hot fun sich arobgeworfien dem ga'chtrschl'i ier, di nnchtdkleider, woss sei h'ot in sei mit dem wolken-theu ge.schlofen.|lz, alz d.ot sich gewekt di wilt hot fun sich arobgeworfien dem ga'chtrschl'i ier, di nnchtdkleider, woss sei h'ot in sei mit dem wolken-theu ge.schlofen.
1363.wav|un mit dem' schmi ichel fun a chlh, woss wekt sich u ir di erste gaft noch der chssunh, hot ess lz geschm'iichelsch, ongssemrunken mit liebe un leben.|un mit dem' schmi ichel fun a chlh, woss wekt sich u ir di erste gaft noch der chssunh, hot ess lz geschm'iichelsch, ongssemrunken mit liebe un leben.
1364.wav|usss feier is scheun gewen ferloschen.|usss feier is scheun gewen ferloschen.
1365.wav|do un dort hot et noch sein lezt bissel zorn eussgelost zu an ibergeblibener wand, zu a fleitel, a balke un ess hot getlihet un getlihet, doss stedtel is a churbn geworen.|do un dort hot et noch sein lezt bissel zorn eussgelost zu an ibergeblibener wand, zu a fleitel, a balke un ess hot getlihet un getlihet, doss stedtel is a churbn geworen.
1366.wav|tlihende kupess keulen, ferbrente decher, lienendik iber ferbrente wentlech, hoben sich gereuchert un gereuchert.|tlihende kupess keulen, ferbrente decher, lienendik iber ferbrente wentlech, hoben sich gereuchert un gereuchert.
1367.wav|do un dort hot sich gewisen a halb obgemolt wendtel fun a zulegter stub, woss hot noch in sich gehat an ongeklapte polize.|do un dort hot sich gewisen a halb obgemolt wendtel fun a zulegter stub, woss hot noch in sich gehat an ongeklapte polize.
1368.wav|in der gass seinen arumgefleugen fun dechel zu dechel ederen, unter di fiss hoben sich gewalgert zubrochene chlim, stiker mesch fun leichterlech un schbss'nikess, un in miten derinen a stik seiden schbss-kleid, a tlihende schmochte mit an ongereuchert scheitel.|in der gass seinen arumgefleugen fun dechel zu dechel ederen, unter di fiss hoben sich gewalgert zubrochene chlim, stiker mesch fun leichterlech un schbss'nikess, un in miten derinen a stik seiden schbss-kleid, a tlihende schmochte mit an ongereuchert scheitel.
1369.wav|fun di glihende churbuss hoben di heuche, schwarze keumenss areussgescheint un hoben eduss gesogt euf dem churbn, woss do is gewen.|fun di glihende churbuss hoben di heuche, schwarze keumenss areussgescheint un hoben eduss gesogt euf dem churbn, woss do is gewen.
1370.wav|do un dort seinen iuden gestanen un mit stiker eisen in di hend hoben sei fun di glihende keuhlen eussgeschart stiker zubrochene chliss, skalb-ongetlihete koldress, fiss fun zubrochene tischen, benk, n i gder hot sich sein bissel belhchss'ischkeit zusamengegdabelt, mamess seinen arumgelofen in di heiser mit gebrochene hend un hoben zusamengekliben di bizeldige kinderlech, welche sei hoben bei-nacht in fremde heiser, in fremde beten gelegt.|do un dort seinen iuden gestanen un mit stiker eisen in di hend hoben sei fun di glihende keuhlen eussgeschart stiker zubrochene chliss, skalb-ongetlihete koldress, fiss fun zubrochene tischen, benk, n i gder hot sich sein bissel belhchss'ischkeit zusamengegdabelt, mamess seinen arumgelofen in di heiser mit gebrochene hend un hoben zusamengekliben di bizeldige kinderlech, welche sei hoben bei-nacht in fremde heiser, in fremde beten gelegt.
1371.wav|meidlech seinen arumgelofen un fun fremde heufen doss bissel bel-hbss'ischkeit, woss sei hoben ess bei-nacht zuworfen, zusamengekliben, gelegt a pekel zu a pekel un euf sei di pizeldine kinderlech areufgesezt.|meidlech seinen arumgelofen un fun fremde heufen doss bissel bel-hbss'ischkeit, woss sei hoben ess bei-nacht zuworfen, zusamengekliben, gelegt a pekel zu a pekel un euf sei di pizeldine kinderlech areufgesezt.
1372.wav|kleine iunglech hoben fun feier eussgegrabelt di halb-ferbrente ssfrim, eussgesucht zutretene schmuss, gekuscht ess, zusamengenumen un in dem ibergeblibenem biss-hmdrsch'l getrogen.|kleine iunglech hoben fun feier eussgegrabelt di halb-ferbrente ssfrim, eussgesucht zutretene schmuss, gekuscht ess, zusamengenumen un in dem ibergeblibenem biss-hmdrsch'l getrogen.
1373.wav|un der lichtiger tog un di lichtige sun, woss hot sich herlich weit un breit iber'n himel eussgegossen, hot geschoten euf'n stedtel mit licht un helkeit, nor di lichtigkeit hot glihende churbuss, ibergeblibene keumenss un wlgerndige kleine kinderlech beleuchten un behelt|un der lichtiger tog un di lichtige sun, woss hot sich herlich weit un breit iber'n himel eussgegossen, hot geschoten euf'n stedtel mit licht un helkeit, nor di lichtigkeit hot glihende churbuss, ibergeblibene keumenss un wlgerndige kleine kinderlech beleuchten un behelt
1374.wav|un do un dort is bei sein tlihender churbh a iud, a bel-hbiss gestanen un gezeugen fun feier noch nischt kein ganzferbrente blkess, breter, un doss glihende mit wasser geloschen un hot sich gelegt a balke zu a balke, a bret zu a bret un gemacht scheun plener in mch, wi sein zufihrte nchlh euf di fiss zu stelen.|un do un dort is bei sein tlihender churbh a iud, a bel-hbiss gestanen un gezeugen fun feier noch nischt kein ganzferbrente blkess, breter, un doss glihende mit wasser geloschen un hot sich gelegt a balke zu a balke, a bret zu a bret un gemacht scheun plener in mch, wi sein zufihrte nchlh euf di fiss zu stelen.
1375.wav|arum iber di felder seinen halb-nakete weiber gelegen, haltendik in di schirzen seiere seugende kinder.|arum iber di felder seinen halb-nakete weiber gelegen, haltendik in di schirzen seiere seugende kinder.
1376.wav|arum sich hoben sei gehat di zuneufgelege peklech un kinder, un di sun hot doss aless begossen mit licht.|arum sich hoben sei gehat di zuneufgelege peklech un kinder, un di sun hot doss aless begossen mit licht.
1377.wav|zwischen di beli-hbssim in stedtel hot men in der stil merdt, an got hot sich on dem rb'ss kriwde ongenumen, un sein horn euf di steiner un helzer eussgegossen.|zwischen di beli-hbssim in stedtel hot men in der stil merdt, an got hot sich on dem rb'ss kriwde ongenumen, un sein horn euf di steiner un helzer eussgegossen.
1378.wav|in miten weg|in miten weg
1379.wav|hoss stedtel heubt on einzigweis kumen zu sich.|hoss stedtel heubt on einzigweis kumen zu sich.
1380.wav|ame mli-bssim weren nischt ferfalen, un stodt wert zurik schtdb mn d groben asch hot men di lb-ferbrente beter areussgert, un wi einer hot gekent hot er si.in nchlh mit betlech schsageklam.|ame mli-bssim weren nischt ferfalen, un stodt wert zurik schtdb mn d groben asch hot men di lb-ferbrente beter areussgert, un wi einer hot gekent hot er si.in nchlh mit betlech schsageklam.
1381.wav|ar schodt uert zurik stodr'.|ar schodt uert zurik stodr'.
1382.wav|bei r ichskch hot chch erweil ongeheuen zu zukleuben euf tgig m'le chlh ho ssun or nischt geumusst.|bei r ichskch hot chch erweil ongeheuen zu zukleuben euf tgig m'le chlh ho ssun or nischt geumusst.
1383.wav|si is gersch im mensser ieen frih-orgen un hot sich tum dbi'nt mre,?|si is gersch im mensser ieen frih-orgen un hot sich tum dbi'nt mre,?
1384.wav|brhm'lss lernen eieehorcht, woss hot si.ch in gorten in einem mit dem blumen geschmak eussgemischt, in ihr frisch, rein chdr gedringt, iber ihr gesicht gefochert, un euf ihre okete, iuee brisst geblosen.|brhm'lss lernen eieehorcht, woss hot si.ch in gorten in einem mit dem blumen geschmak eussgemischt, in ihr frisch, rein chdr gedringt, iber ihr gesicht gefochert, un euf ihre okete, iuee brisst geblosen.
1385.wav|dem tnoim greiten hot en in der kich ongesehn.|dem tnoim greiten hot en in der kich ongesehn.
1386.wav|fun hinter der erd hoben sich mumess, bobess geiawet un men hot sich genumen zum ongreiten.|fun hinter der erd hoben sich mumess, bobess geiawet un men hot sich genumen zum ongreiten.
1387.wav|fun r' ichskl'ss stub zu di bekerin'ss keler hot a sstenge mehl sich geweisst euf di steiner.|fun r' ichskl'ss stub zu di bekerin'ss keler hot a sstenge mehl sich geweisst euf di steiner.
1388.wav|dort, wu r' ichskl wohnt is farhan a lik.|dort, wu r' ichskl wohnt is farhan a lik.
1389.wav|in der lik ziht sich a scherenge gebeute heiser, oder ein heus mit fielkantine decher, einer iber'n zweiten.|in der lik ziht sich a scherenge gebeute heiser, oder ein heus mit fielkantine decher, einer iber'n zweiten.
1390.wav|kein heuf zu di heiser is nischt do, un ein got weisst euf woss far a grund sei stehen.|kein heuf zu di heiser is nischt do, un ein got weisst euf woss far a grund sei stehen.
1391.wav|dacht sich gor nischt euf got'ss erd.|dacht sich gor nischt euf got'ss erd.
1392.wav|di heiser geheren zu fiel beli-bssim, un zu keinem nischt.|di heiser geheren zu fiel beli-bssim, un zu keinem nischt.
1393.wav|ess heisst, as aseu stehen di stiber leidik ohn einwhner, mit eussgehakte scheuben, nor keum wil a iuk sich areinzihen kumen sich zu iawen zehndlige andere iurschim mit papieren un metreeess un wei-|ess heisst, as aseu stehen di stiber leidik ohn einwhner, mit eussgehakte scheuben, nor keum wil a iuk sich areinzihen kumen sich zu iawen zehndlige andere iurschim mit papieren un metreeess un wei-
1394.wav|sen euf, as di stiber geheren zu sei.|sen euf, as di stiber geheren zu sei.
1395.wav|der gurl is gefalen euf einem a libusch putermilch, woss nischt gesteugen, nischt gefleugen kumt zu ihm sschenssche sstrasschnik un reisst bei ihm fier mit a halben rubel podatkess iehrlich.|der gurl is gefalen euf einem a libusch putermilch, woss nischt gesteugen, nischt gefleugen kumt zu ihm sschenssche sstrasschnik un reisst bei ihm fier mit a halben rubel podatkess iehrlich.
1396.wav|der leibusch putermilch is nscht kein gul, nischt kein krub, nor geh tenh mit sschensschen, as sschenssche brengt di papieren, un nehmt di schbssleichterlech awek.|der leibusch putermilch is nscht kein gul, nischt kein krub, nor geh tenh mit sschensschen, as sschenssche brengt di papieren, un nehmt di schbssleichterlech awek.
1397.wav|un der bidne leibusch mus ieden tog nebech kumen mit'n besem awek-kehren far a fremder thir.|un der bidne leibusch mus ieden tog nebech kumen mit'n besem awek-kehren far a fremder thir.
1398.wav|iezt dult men ihm a kop mit a feier-wand, un er scheft sich ob fun tog zu tog.|iezt dult men ihm a kop mit a feier-wand, un er scheft sich ob fun tog zu tog.
1399.wav|doss ganze stertil bet, as ch sl kumen a feier un d heislich, einmol far ale mol, obbssen, wolt scheun einmol a ssuf geworen zu di mchlukss.|doss ganze stertil bet, as ch sl kumen a feier un d heislich, einmol far ale mol, obbssen, wolt scheun einmol a ssuf geworen zu di mchlukss.
1400.wav|iuelech in chdr winschen sich: eu, hlui flakert euss a fer in mten helen to, un men antleuft fun chdr.|iuelech in chdr winschen sich: eu, hlui flakert euss a fer in mten helen to, un men antleuft fun chdr.
1401.wav|nor weil di schtdt et, wil dot feier duk nischt kumen.|nor weil di schtdt et, wil dot feier duk nischt kumen.
1402.wav|dort hiner di lufrhengenssige heislech k frn a keler, woss areinkumendik in ihm, dacht sich, as er fihrt in behaltene welten arunter.|dort hiner di lufrhengenssige heislech k frn a keler, woss areinkumendik in ihm, dacht sich, as er fihrt in behaltene welten arunter.
1403.wav|dort in de keler is frn a bekereuwen fun trch'ss zeitsch.|dort in de keler is frn a bekereuwen fun trch'ss zeitsch.
1404.wav|iuden gleuben, as in dem iwen seinen eingemeuert fiel kuperne tep mit goldene rendlech, nor men hot mur dem euwen zu rihren, as doss ganze heus, welchess is ongelehnt euss'n eu-wen sol nischt einfalen un menschen hrg'enen.|iuden gleuben, as in dem iwen seinen eingemeuert fiel kuperne tep mit goldene rendlech, nor men hot mur dem euwen zu rihren, as doss ganze heus, welchess is ongelehnt euss'n eu-wen sol nischt einfalen un menschen hrg'enen.
1405.wav|fun euurn grilt ess stendik reuss ssei beitog ssei bei nacht.|fun euurn grilt ess stendik reuss ssei beitog ssei bei nacht.
1406.wav|menschen saren, as dem beker'ss nschmh weint dort stendik un hot kein ruh nischt.|menschen saren, as dem beker'ss nschmh weint dort stendik un hot kein ruh nischt.
1407.wav|in keler dort wohnt a iudene an almnh, dh di bekerin mit sekss techter issumuss.|in keler dort wohnt a iudene an almnh, dh di bekerin mit sekss techter issumuss.
1408.wav|ein got weisst, wi arum is di iudene areingekumen in keler, nor as si wohnt wohnt si scheun.|ein got weisst, wi arum is di iudene areingekumen in keler, nor as si wohnt wohnt si scheun.
1409.wav|euf der zweiter seit keler wohnt a iud a waten-macher, woss ferfedert di ganze gass, ss woss d chdriunglch rufen ihm chwon!|euf der zweiter seit keler wohnt a iud a waten-macher, woss ferfedert di ganze gass, ss woss d chdriunglch rufen ihm chwon!
1410.wav|dswon!|dswon!
1411.wav|un der iud iogt sei ta stekel, un woss der iud hot asa tbe ieen schbsser nacht'ss, in di sumer schbssiss, euss'ss teut awekzufalen, arn schreken di stodt: di cholere un men leuft noch cheim'l kunzen-|un der iud iogt sei ta stekel, un woss der iud hot asa tbe ieen schbsser nacht'ss, in di sumer schbssiss, euss'ss teut awekzufalen, arn schreken di stodt: di cholere un men leuft noch cheim'l kunzen-
1412.wav|macher, as er sol kumen mit'n schmek-fleschele.|macher, as er sol kumen mit'n schmek-fleschele.
1413.wav|ach, di sumerdige donerstogss bei nacht dart in likel!|ach, di sumerdige donerstogss bei nacht dart in likel!
1414.wav|den zu di 6 issumuss, woss eine is gresser far der zweiter, kumen onzuleufen di stodt-iungen, schneier, schusster-geselen.|den zu di 6 issumuss, woss eine is gresser far der zweiter, kumen onzuleufen di stodt-iungen, schneier, schusster-geselen.
1415.wav|sumer-nacht noch der arbeit, di nacht is finsster, di loden seinen fermacht, un di geselen drehen sich arum mit di chul-hmuer stekelech ahin un zurik.|sumer-nacht noch der arbeit, di nacht is finsster, di loden seinen fermacht, un di geselen drehen sich arum mit di chul-hmuer stekelech ahin un zurik.
1416.wav|iedess mol kumt sich zu weisen a issumh fun keler, warft a blik, derchapt si a kusch, a lek, a tap fun a iung un wert zurik ferschwunden in keler arein.|iedess mol kumt sich zu weisen a issumh fun keler, warft a blik, derchapt si a kusch, a lek, a tap fun a iung un wert zurik ferschwunden in keler arein.
1417.wav|dort is heimlich gewen in di schbueuss-necht, wen doss stertil iuden flegen is schuhl sein beim tkun, un doss stertil weiber, meiden bei di bekerin, puter-kuchenss baken.|dort is heimlich gewen in di schbueuss-necht, wen doss stertil iuden flegen is schuhl sein beim tkun, un doss stertil weiber, meiden bei di bekerin, puter-kuchenss baken.
1418.wav|un iungen hoben sich edreht, un di lbnh hot mit a halb eug zugescheint.|un iungen hoben sich edreht, un di lbnh hot mit a halb eug zugescheint.
1419.wav|un aless hot sich in der halbschertdunkener nacht getunken.|un aless hot sich in der halbschertdunkener nacht getunken.
1420.wav|in dem keler hot men sich zusamengenumen doss gebekss zu baken zu der tnoim.|in dem keler hot men sich zusamengenumen doss gebekss zu baken zu der tnoim.
1421.wav|ess seinen ongekumen muhmess, bobess.|ess seinen ongekumen muhmess, bobess.
1422.wav|dchl-lh mit di worzelech euf der gombe si is iber al si hot mitgebrengt fun der heim dem greussen mersschel mit'n steussel un hot drei teg chssdr geriben, gesteussen un gemolen.|dchl-lh mit di worzelech euf der gombe si is iber al si hot mitgebrengt fun der heim dem greussen mersschel mit'n steussel un hot drei teg chssdr geriben, gesteussen un gemolen.
1423.wav|ess seinen ongekumen zu leufen einiklech fun der ganzer welt un hoben gechapt euss dem mersschel un seinen antrunen geworen.|ess seinen ongekumen zu leufen einiklech fun der ganzer welt un hoben gechapt euss dem mersschel un seinen antrunen geworen.
1424.wav|fun a heuchen beudem hot en arobgenumen ferschiedene brot-fanen mit zehnerlei formelech zu kichlen: mgn-dud'lich, feigelech, katschkelech un glate hamburger kichelech mit sieben spitzlech.|fun a heuchen beudem hot en arobgenumen ferschiedene brot-fanen mit zehnerlei formelech zu kichlen: mgn-dud'lich, feigelech, katschkelech un glate hamburger kichelech mit sieben spitzlech.
1425.wav|rchl-lh hot fun ihr kop eussgeklehrt ferschiedene aselche schmochtess mit spizlech un kanten.|rchl-lh hot fun ihr kop eussgeklehrt ferschiedene aselche schmochtess mit spizlech un kanten.
1426.wav|far ieder chlh, woss si hot far ihr doss gebekss gebaken, hot si a gesundeu' chn'del eussgeklehrt, direkt far der chlh'ss-wegen, leut ihr msl noch.|far ieder chlh, woss si hot far ihr doss gebekss gebaken, hot si a gesundeu' chn'del eussgeklehrt, direkt far der chlh'ss-wegen, leut ihr msl noch.
1427.wav|doss gebekss hot men eingepakt mitzunehmen in wen arein zu der tnoim.|doss gebekss hot men eingepakt mitzunehmen in wen arein zu der tnoim.
1428.wav|r' izchk iudel'ss is durch der zeit in r' ichskl'ss tub a ganzer bel-hbiss geworen, er hot sich mit weib un kind areingezeugen.|r' izchk iudel'ss is durch der zeit in r' ichskl'ss tub a ganzer bel-hbiss geworen, er hot sich mit weib un kind areingezeugen.
1429.wav|un cheim'l kunzenmacher, doss wei|un cheim'l kunzenmacher, doss wei
1430.wav|dische iudel, schloft afilu scheun bei nacht hort.|dische iudel, schloft afilu scheun bei nacht hort.
1431.wav|un di weiber leufen, schreien, ale seinen fertun, wi men wolt ieder fun sei a pekel euf der hand gelegt, un si weiss nischt wu sich mit ahinzutun.|un di weiber leufen, schreien, ale seinen fertun, wi men wolt ieder fun sei a pekel euf der hand gelegt, un si weiss nischt wu sich mit ahinzutun.
1432.wav|zum spetssten seinen gekumen ith'le un hindh'le, di schnur mit di tochter.|zum spetssten seinen gekumen ith'le un hindh'le, di schnur mit di tochter.
1433.wav|sei hoben a tbe sich lang zu losen beten, un seinen areingekumen, wi fun himel arobgefalen.|sei hoben a tbe sich lang zu losen beten, un seinen areingekumen, wi fun himel arobgefalen.
1434.wav|ess hrisst: sei heuben gor nischt on zu wissen fun kein pussr mn kein chlu, un fregen sich tm'ewate: woss macht men do?|ess hrisst: sei heuben gor nischt on zu wissen fun kein pussr mn kein chlu, un fregen sich tm'ewate: woss macht men do?
1435.wav|heubt i mame zu derzehlen, hen sei pschete di sslen uo, see sich zum ssuf anider iede in ihr winkel adein, berkren d schneble, un wilen sich nischt mischen.|heubt i mame zu derzehlen, hen sei pschete di sslen uo, see sich zum ssuf anider iede in ihr winkel adein, berkren d schneble, un wilen sich nischt mischen.
1436.wav|woss seint ihr brugs?|woss seint ihr brugs?
1437.wav|bet sich di schme r d schwiger.|bet sich di schme r d schwiger.
1438.wav|ich bin bres?|ich bin bres?
1439.wav|cht a chn'ewdik schnebele ithle un git a deh awek mit'n kop.|cht a chn'ewdik schnebele ithle un git a deh awek mit'n kop.
1440.wav|ich bin brugs?|ich bin brugs?
1441.wav|git hindele a chn'ewdik schmeichele.|git hindele a chn'ewdik schmeichele.
1442.wav|un a lok git sich ihr a worf iber'n stern.|un a lok git sich ihr a worf iber'n stern.
1443.wav|un men sizt wi ongesotelt un men kukt fun derweiter sich zu, uhoss di mame mit di iudeness mheen, un men ruft sich, heisst ess, kein wort nischt on.|un men sizt wi ongesotelt un men kukt fun derweiter sich zu, uhoss di mame mit di iudeness mheen, un men ruft sich, heisst ess, kein wort nischt on.
