ashtetl-1|אָטיג איז דער װעג, װאס פיהרט אין „שטעדטעל" אַרײן.|אָטיג איז דער װעג, װאס פיהרט אין „שטעדטעל" אַרײן.
ashtetl-1365|מײדלעך זײנען אַרומגעלאָפען און פון פרעמדע הױפען דאָס ביסעל בעל-הבת'ישקײט, װאָס זײ האָבען עס בײ-נאַכט צוּװאָרפען, צוזאַמענגעקליבען, געלעגט אַ פּעקעל צו אַ פּעקעל און אױף זײ די פּיצעלדינע קינדערלעך אַרױפגעזעצט.|מײדלעך זײנען אַרומגעלאָפען און פון פרעמדע הױפען דאָס ביסעל בעל-הבת'ישקײט, װאָס זײ האָבען עס בײ-נאַכט צוּװאָרפען, צוזאַמענגעקליבען, געלעגט אַ פּעקעל צו אַ פּעקעל און אױף זײ די פּיצעלדינע קינדערלעך אַרױפגעזעצט.
ashtetl-1366|קלײנע יונגלעך האָבען פון פײער אױסגעגראַבעלט די האַלב-פערברענטע ספרים, אױסגעזוכט צוטרעטענע שמות, געקושט עס, צוזאַמענגענומען און אין דעם איבערגעבליבענעם בית-המדרש'ל געטראָגען.|קלײנע יונגלעך האָבען פון פײער אױסגעגראַבעלט די האַלב-פערברענטע ספרים, אױסגעזוכט צוטרעטענע שמות, געקושט עס, צוזאַמענגענומען און אין דעם איבערגעבליבענעם בית-המדרש'ל געטראָגען.
ashtetl-1367|און דער ליכטיגער טאָג און די ליכטיגע זון, װאָס האָט זיך הערליך װײט און ברײט איבער'ן הימעל אױסגעגאָסען, האָט געשאָטען אױפ'ן שטעדטעל מיט ליכט און העלקײט, נאָר די ליכטיגקײט האָט גליהענדע חורבות, איבערגעבליבענע קױמענס און װאלגערנדיגע קלײנע קינדערלעך בעלױכטען און בעהעלט|און דער ליכטיגער טאָג און די ליכטיגע זון, װאָס האָט זיך הערליך װײט און ברײט איבער'ן הימעל אױסגעגאָסען, האָט געשאָטען אױפ'ן שטעדטעל מיט ליכט און העלקײט, נאָר די ליכטיגקײט האָט גליהענדע חורבות, איבערגעבליבענע קױמענס און װאלגערנדיגע קלײנע קינדערלעך בעלױכטען און בעהעלט
ashtetl-1368|און דאָ און דאָרט איז בײ זײן טליהענדער חורבה אַ יוד, אַ בעל-הבית געשטאַנען און געצױגען פון פײער נאָך נישט קײן גאַנץפערברענטע באלקעס, ברעטער, און דאָס גליהענדע מיט װאַסער געלאָשען און האָט זיך געלעגט אַ באַלקע צו אַ באַלקע, אַ ברעט צו אַ ברעט און געמאַכט שױן פּלענער אין מח, װי זײן צופיהרטע נחלה אױף די פיס צו שטעלען...|און דאָ און דאָרט איז בײ זײן טליהענדער חורבה אַ יוד, אַ בעל-הבית געשטאַנען און געצױגען פון פײער נאָך נישט קײן גאַנץפערברענטע באלקעס, ברעטער, און דאָס גליהענדע מיט װאַסער געלאָשען און האָט זיך געלעגט אַ באַלקע צו אַ באַלקע, אַ ברעט צו אַ ברעט און געמאַכט שױן פּלענער אין מח, װי זײן צופיהרטע נחלה אױף די פיס צו שטעלען...
ashtetl-1369|אַרום איבער די פעלדער זײנען האַלב-נאַקעטע װײבער געלעגען, האַלטענדיק אין די שירצען זײערע זױגענדע קינדער.|אַרום איבער די פעלדער זײנען האַלב-נאַקעטע װײבער געלעגען, האַלטענדיק אין די שירצען זײערע זױגענדע קינדער.
ashtetl-1370|אַרום זיך האָבען זײ געהאַט די צונױפגעלעגע פּעקלעך און קינדער, און די זון האָט דאָס אַלעס בעגאָסען מיט ליכט.|אַרום זיך האָבען זײ געהאַט די צונױפגעלעגע פּעקלעך און קינדער, און די זון האָט דאָס אַלעס בעגאָסען מיט ליכט.
ashtetl-1371|צװישען די בעלי-הבתים אין שטעדטעל האָט מען אין דער שטיל מערדט, אַן גאָט האָט זיך אָן דעם רב'ס קריװדע אָנגענומען, און זײן האָרן אױף די שטײנער און העלצער אױסגעגאָסען...|צװישען די בעלי-הבתים אין שטעדטעל האָט מען אין דער שטיל מערדט, אַן גאָט האָט זיך אָן דעם רב'ס קריװדע אָנגענומען, און זײן האָרן אױף די שטײנער און העלצער אױסגעגאָסען...
ashtetl-1372|אין מיטען װעג|אין מיטען װעג
ashtetl-1373|האָס „שטעדטעל" הױבט אָן אײנציגװײז קומען צו זיך.|האָס „שטעדטעל" הױבט אָן אײנציגװײז קומען צו זיך.
ashtetl-1374|אַמע מלי-בתים װערען נישט פערפאַלען, און שטאָדט װערט צוריק שטדבּ מן ד גראָבען אַש האָט מען די לב-פערברענטע בעטער אַרױסגערט, און װי אײנער האָט געקענט האָט ער זי.ין נחלה מיט בעטלעך שזאַגעקלאַמ.|אַמע מלי-בתים װערען נישט פערפאַלען, און שטאָדט װערט צוריק שטדבּ מן ד גראָבען אַש האָט מען די לב-פערברענטע בעטער אַרױסגערט, און װי אײנער האָט געקענט האָט ער זי.ין נחלה מיט בעטלעך שזאַגעקלאַמ.
ashtetl-1375|אַר „שאָדט" וערט צוריק „שטאָדר'.|אַר „שאָדט" וערט צוריק „שטאָדר'.
ashtetl-1376|בײ ר יחזקח האָט חך ערװײל אָנגעהױען צו צוקלױבען אױף תּגאיג מ'לע כלה האָ סון אָר נישט געומוסט.|בײ ר יחזקח האָט חך ערװײל אָנגעהױען צו צוקלױבען אױף תּגאיג מ'לע כלה האָ סון אָר נישט געומוסט.
ashtetl-1377|זי איז גערש ים מענסער יעען פריה-אָרגען און האָט זיך טום דבי'נט מרע,?|זי איז גערש ים מענסער יעען פריה-אָרגען און האָט זיך טום דבי'נט מרע,?
ashtetl-1378|אברהמ'לס לערנען אײעעהאָרכט, װאָס האָט זי.ך אין גאָרטען אין אײנעם מיט דעם בלומען געשמאַק אױסגעמישט, אין איהר פריש, רײן חדר געדרינגט, איבער איהר געזיכט געפאָכערט, און אױף איהרע אָקעטע, יועע בריסט געבלאָזען.|אברהמ'לס לערנען אײעעהאָרכט, װאָס האָט זי.ך אין גאָרטען אין אײנעם מיט דעם בלומען געשמאַק אױסגעמישט, אין איהר פריש, רײן חדר געדרינגט, איבער איהר געזיכט געפאָכערט, און אױף איהרע אָקעטע, יועע בריסט געבלאָזען.
ashtetl-1379|דעם תּנאָים גרײטען האָט ען אין דער קיך אָנגעזעהן.|דעם תּנאָים גרײטען האָט ען אין דער קיך אָנגעזעהן.
ashtetl-1380|פון הינטער דער ערד האָבען זיך מומעס, באָבעס געיאַװעט און מען האָט זיך גענומען צום אָנגרײטען.|פון הינטער דער ערד האָבען זיך מומעס, באָבעס געיאַװעט און מען האָט זיך גענומען צום אָנגרײטען.
ashtetl-1381|פון ר' יחזקאל'ס שטוב צו די בעקערינ'ס קעלער האָט אַ סטענגע מעהל זיך געװײסט אױף די שטײנער.|פון ר' יחזקאל'ס שטוב צו די בעקערינ'ס קעלער האָט אַ סטענגע מעהל זיך געװײסט אױף די שטײנער.
ashtetl-1382|דאָרט, װוּ ר' יחזקאל װאָהנט איז פאַרהאַן אַ ליק.|דאָרט, װוּ ר' יחזקאל װאָהנט איז פאַרהאַן אַ ליק.
ashtetl-1383|אין דער ליק ציהט זיך אַ שערענגע געבױטע הײזער, אָדער אײן הױז מיט פיעלקאַנטינע דעכער, אײנער איבער'ן צװײטען.|אין דער ליק ציהט זיך אַ שערענגע געבױטע הײזער, אָדער אײן הױז מיט פיעלקאַנטינע דעכער, אײנער איבער'ן צװײטען.
ashtetl-1384|קײן הױף צו די הײזער איז נישט דאָ, און אײן גאָט װײסט אױף װאָס פאַר אַ גרונד זײ שטעהען.|קײן הױף צו די הײזער איז נישט דאָ, און אײן גאָט װײסט אױף װאָס פאַר אַ גרונד זײ שטעהען.
ashtetl-1385|דאַכט זיך גאָר נישט אױף גאָט'ס ערד...|דאַכט זיך גאָר נישט אױף גאָט'ס ערד...
ashtetl-1386|די הײזער געהערען צו פיעל בעלי-בתים, און צו קײנעם נישט.|די הײזער געהערען צו פיעל בעלי-בתים, און צו קײנעם נישט.
ashtetl-1387|עס הײסט, אַז אַזױ שטעהען די שטיבער לײדיק אָהן אײנװאהנער, מיט אױסגעהאַקטע שױבען, נאָר קױם װיל אַ „יוק" זיך אַרײנציהען קומען זיך צו יאַװען צעהנדליגע אַנדערע יורשים מיט פּאַפּיערען און מעטרעעעס און װײ-|עס הײסט, אַז אַזױ שטעהען די שטיבער לײדיק אָהן אײנװאהנער, מיט אױסגעהאַקטע שױבען, נאָר קױם װיל אַ „יוק" זיך אַרײנציהען קומען זיך צו יאַװען צעהנדליגע אַנדערע יורשים מיט פּאַפּיערען און מעטרעעעס און װײ-
ashtetl-1388|זען אױף, אַז די שטיבער געהערען צו זײ.|זען אױף, אַז די שטיבער געהערען צו זײ.
ashtetl-1389|דער גורל איז געפאַלען אױף אײנעם אַ ליבוש פּוטערמילך, װאָס נישט געשטױגען, נישט געפלױגען קומט צו איהם זשענזשע סטראַזשניק און רײסט בײ איהם פיער מיט אַ האַלבען רובעל „פּאָדאַטקעס" יעהרליך.|דער גורל איז געפאַלען אױף אײנעם אַ ליבוש פּוטערמילך, װאָס נישט געשטױגען, נישט געפלױגען קומט צו איהם זשענזשע סטראַזשניק און רײסט בײ איהם פיער מיט אַ האַלבען רובעל „פּאָדאַטקעס" יעהרליך.
ashtetl-1390|דער לײבוש פּוטערמילך איז נשט קײן גואל, נישט קײן קרוב, נאָר געה טענה מיט זשענזשען, אַז זשענזשע ברענגט די פּאַפּיערען, און נעהמט די שבתלײכטערלעך אַװעק.|דער לײבוש פּוטערמילך איז נשט קײן גואל, נישט קײן קרוב, נאָר געה טענה מיט זשענזשען, אַז זשענזשע ברענגט די פּאַפּיערען, און נעהמט די שבתלײכטערלעך אַװעק.
ashtetl-1391|און דער בידנע לײבוש מוז יעדען טאָג נעבעך קומען מיט'ן בעזעם אַװעק-קעהרען פאַר אַ פרעמדער טהיר.|און דער בידנע לײבוש מוז יעדען טאָג נעבעך קומען מיט'ן בעזעם אַװעק-קעהרען פאַר אַ פרעמדער טהיר.
ashtetl-1392|יעצט דולט מען איהם אַ קאָפּ מיט אַ פײער-װאַנד, און ער שעפט זיך אָב פון טאָג צו טאָג.|יעצט דולט מען איהם אַ קאָפּ מיט אַ פײער-װאַנד, און ער שעפט זיך אָב פון טאָג צו טאָג.
ashtetl-1393|דאָס גאַנצע שטערטיל בעט, אַז ח זל קומען אַ פײער און ד הײזליך, אײנמאָל פאַר אַלע מאָל, אָבבתען, װאָלט שױן אײנמאָל אַ סוף געװאָרען צו די מחלוקת.|דאָס גאַנצע שטערטיל בעט, אַז ח זל קומען אַ פײער און ד הײזליך, אײנמאָל פאַר אַלע מאָל, אָבבתען, װאָלט שױן אײנמאָל אַ סוף געװאָרען צו די מחלוקת.
ashtetl-1394|יועלעך אין חדר װינשען זיך : אױ, הלואי פלאַקערט אױס אַ פער אין מטען העלען טאָ, און מען אַנטלױפט פון חדר.|יועלעך אין חדר װינשען זיך : אױ, הלואי פלאַקערט אױס אַ פער אין מטען העלען טאָ, און מען אַנטלױפט פון חדר.
ashtetl-1395|נאָר װײל די שטדט עט, װיל דאָט פײער דוקא נישט קומען.|נאָר װײל די שטדט עט, װיל דאָט פײער דוקא נישט קומען.
ashtetl-1396|דאָרט הינער די לופרהענגענתיגע הײזלעך אק פאראן אַ קעלער, װאָס אַרײנקומענדיק אין איהם, דאַכט זיך, אַז ער פיהרט אין בעהאַלטענע װעלטען אַרונטער.|דאָרט הינער די לופרהענגענתיגע הײזלעך אק פאראן אַ קעלער, װאָס אַרײנקומענדיק אין איהם, דאַכט זיך, אַז ער פיהרט אין בעהאַלטענע װעלטען אַרונטער.
ashtetl-1397|דאָרט אין דע קעלער איז פאראן אַ בעקעראױװען פון תּרח'ס צײטש.|דאָרט אין דע קעלער איז פאראן אַ בעקעראױװען פון תּרח'ס צײטש.
ashtetl-1398|יודען גלױבען, אַז אין דעם יװען זײנען אײנגעמױערט פיעל קופּערנע טעפּ מיט גאָלדענע רענדלעך, נאָר מען האָט מורא דעם אױװען צו ריהרען, אַז דאָס גאַנצע הױז, װעלכעס איז אָנגעלעהנט אױס'ן אױ-װען זאָל נישט אײנפאַלען און מענשען הרג'ענען.|יודען גלױבען, אַז אין דעם יװען זײנען אײנגעמױערט פיעל קופּערנע טעפּ מיט גאָלדענע רענדלעך, נאָר מען האָט מורא דעם אױװען צו ריהרען, אַז דאָס גאַנצע הױז, װעלכעס איז אָנגעלעהנט אױס'ן אױ-װען זאָל נישט אײנפאַלען און מענשען הרג'ענען.
ashtetl-1399|פון אױורן גרילט עס שטענדיק ארױס סײ בײטאָג סײ בײ נאַכט.|פון אױורן גרילט עס שטענדיק ארױס סײ בײטאָג סײ בײ נאַכט.
ashtetl-1400|מענשען זאַרען, אַז דעם בעקער'ס נשמה װײנט דאָרט שטענדיק און האָט קײן רוה נישט...|מענשען זאַרען, אַז דעם בעקער'ס נשמה װײנט דאָרט שטענדיק און האָט קײן רוה נישט...
ashtetl-1401|אין קעלער דאָרט װאָהנט אַ יודענע אַן אַלמנה, דה די בעקערין מיט זעקס טעכטער „יתומות".|אין קעלער דאָרט װאָהנט אַ יודענע אַן אַלמנה, דה די בעקערין מיט זעקס טעכטער „יתומות".
ashtetl-1402|אײן גאָט װײסט, װי אַרום איז די יודענע אַרײנגעקומען אין קעלער, נאָר אַז זי װאָהנט — װאָהנט זי שױן.|אײן גאָט װײסט, װי אַרום איז די יודענע אַרײנגעקומען אין קעלער, נאָר אַז זי װאָהנט — װאָהנט זי שױן.
ashtetl-1403|אױף דער צװײטער זײט קעלער װאָהנט אַ יוד אַ װאַטען-מאַכער, װאָס פערפעדערט די גאַנצע גאַס, את װאָס ד חדריונגלאך רופען איהם חװאָן!|אױף דער צװײטער זײט קעלער װאָהנט אַ יוד אַ װאַטען-מאַכער, װאָס פערפעדערט די גאַנצע גאַס, את װאָס ד חדריונגלאך רופען איהם חװאָן!
ashtetl-1404|דזװאָן!|דזװאָן!
ashtetl-1405|און דער יוד יאָגט זײ טאַ שטעקעל, און װאָס דער יוד האָט אַזאַ טבע יעען שבתער נאַכט'ס, אין די זומער שבתיס, אױס'ס טױט אַװעקצופאַלען, אַרן שרעקען די שטאָדט : די כאָלערע און מען לױפט נאָך חײם'ל קונצען-|און דער יוד יאָגט זײ טאַ שטעקעל, און װאָס דער יוד האָט אַזאַ טבע יעען שבתער נאַכט'ס, אין די זומער שבתיס, אױס'ס טױט אַװעקצופאַלען, אַרן שרעקען די שטאָדט : די כאָלערע און מען לױפט נאָך חײם'ל קונצען-
ashtetl-1406|מאַכער, אַז ער זאָל קומען מיט'ן שמעק-פלעשעלע.|מאַכער, אַז ער זאָל קומען מיט'ן שמעק-פלעשעלע.
ashtetl-1407|אַך, די זומערדיגע דאָנערשטאָגס בײ נאַכט דאַרט אין ליקעל!|אַך, די זומערדיגע דאָנערשטאָגס בײ נאַכט דאַרט אין ליקעל!
ashtetl-1408|דען צו די 6 „יתומות", װאָס אײנע איז גרעסער פאַר דער צװײטער, קומען אָנצולױפען די שטאָדט-יונגען, שנײער, שוסטער-געזעלען.|דען צו די 6 „יתומות", װאָס אײנע איז גרעסער פאַר דער צװײטער, קומען אָנצולױפען די שטאָדט-יונגען, שנײער, שוסטער-געזעלען.
ashtetl-1409|זומער-נאַכט נאָך דער אַרבײט, די נאַכט איז פינסטער, די לאָדען זײנען פערמאַכט, און די געזעלען דרעהען זיך אַרום מיט די חול-המוער שטעקעלעך אַהין און צוריק.|זומער-נאַכט נאָך דער אַרבײט, די נאַכט איז פינסטער, די לאָדען זײנען פערמאַכט, און די געזעלען דרעהען זיך אַרום מיט די חול-המוער שטעקעלעך אַהין און צוריק.
ashtetl-1410|יעדעס מאָל קומט זיך צו װײזען אַ יתומה פון קעלער, װאַרפט אַ בליק, דערכאַפּט זי אַ קוש, אַ לעק, אַ טאַפּ פון אַ יונג און װערט צוריק פערשװוּנדען אין קעלער אַרײן..|יעדעס מאָל קומט זיך צו װײזען אַ יתומה פון קעלער, װאַרפט אַ בליק, דערכאַפּט זי אַ קוש, אַ לעק, אַ טאַפּ פון אַ יונג און װערט צוריק פערשװוּנדען אין קעלער אַרײן..
ashtetl-1411|דאָרט איז הײמליך געװען אין די שבועות-נעכט, װען דאָס שטערטיל יודען פלעגען איז שוהל זײן בײם תּקון, און דאָס שטערטיל װײבער, מײדען בײ די בעקערין, פּוטער-קוכענס באַקען.|דאָרט איז הײמליך געװען אין די שבועות-נעכט, װען דאָס שטערטיל יודען פלעגען איז שוהל זײן בײם תּקון, און דאָס שטערטיל װײבער, מײדען בײ די בעקערין, פּוטער-קוכענס באַקען.
ashtetl-1412|און יונגען האָבען זיך עדרעהט, און די לבנה האָט מיט אַ האַלב אױג צוגעשײנט...|און יונגען האָבען זיך עדרעהט, און די לבנה האָט מיט אַ האַלב אױג צוגעשײנט...
ashtetl-1413|און אַלעס האָט זיך אין דער האַלבשערטדונקענער נאַכט געטונקען....|און אַלעס האָט זיך אין דער האַלבשערטדונקענער נאַכט געטונקען....
ashtetl-1414|אין דעם קעלער האָט מען זיך צוזאַמענגענומען דאָס געבעקס צו באַקען צו דער תּנאָים.|אין דעם קעלער האָט מען זיך צוזאַמענגענומען דאָס געבעקס צו באַקען צו דער תּנאָים.
ashtetl-1415|עס זײנען אָנגעקומען מוהמעס, באָבעס.|עס זײנען אָנגעקומען מוהמעס, באָבעס.
ashtetl-1416|דחל-לאה מיט די װאָרצעלעך אױף דער גאָמבע — זי איז איבער אַל זי האָט מיטגעברענגט פון דער הײם דעם גרױסען מערזשעל מיט'ן שטױסעל און האָט דרײ טעג כסדר געריבען, געשטױסען און געמאָלען.|דחל-לאה מיט די װאָרצעלעך אױף דער גאָמבע — זי איז איבער אַל זי האָט מיטגעברענגט פון דער הײם דעם גרױסען מערזשעל מיט'ן שטױסעל און האָט דרײ טעג כסדר געריבען, געשטױסען און געמאָלען.
ashtetl-1417|עס זײנען אָנגעקומען צו לױפען אײניקלעך פון דער גאַנצער װעלט און האָבען געכאַפּט אױס דעם מערזשעל און זײנען אַנטרונען געװאָרען...|עס זײנען אָנגעקומען צו לױפען אײניקלעך פון דער גאַנצער װעלט און האָבען געכאַפּט אױס דעם מערזשעל און זײנען אַנטרונען געװאָרען...
ashtetl-1418|פון אַ הױכען בױדעם האָט ען אַראָבגענומען פערשיעדענע בראָט-פאַנען מיט צעהנערלײ פאָרמעלעך צו קיכלען : „מגן-דוד'ליך", פײגעלעך, קאַטשקעלעך און גלאַטע „האַמבורגער" קיכעלעך מיט זיעבען שפּיטצלעך.|פון אַ הױכען בױדעם האָט ען אַראָבגענומען פערשיעדענע בראָט-פאַנען מיט צעהנערלײ פאָרמעלעך צו קיכלען : „מגן-דוד'ליך", פײגעלעך, קאַטשקעלעך און גלאַטע „האַמבורגער" קיכעלעך מיט זיעבען שפּיטצלעך.
ashtetl-1419|רחל-לאה האָט פון איהר קאָפּ אױסגעקלעהרט פערשיעדענע אַזעלכע שמאָכטעס מיט שפּיצלעך און קאַנטען.|רחל-לאה האָט פון איהר קאָפּ אױסגעקלעהרט פערשיעדענע אַזעלכע שמאָכטעס מיט שפּיצלעך און קאַנטען.
ashtetl-1420|פאַר יעדער כלה, װאָס זי האָט פאַר איהר דאָס געבעקס געבאַקען, האָט זי אַ געזונדעו' חנ'דעל אױסגעקלעהרט, דירעקט פאַר דער כלה'ס-װעגען, לױט איהר מזל נאָך.|פאַר יעדער כלה, װאָס זי האָט פאַר איהר דאָס געבעקס געבאַקען, האָט זי אַ געזונדעו' חנ'דעל אױסגעקלעהרט, דירעקט פאַר דער כלה'ס-װעגען, לױט איהר מזל נאָך.
ashtetl-1421|דאָס געבעקס האָט מען אײנגעפּאַקט מיטצונעהמען „אין װענ אַרײן" צו דער תּנאָים.|דאָס געבעקס האָט מען אײנגעפּאַקט מיטצונעהמען „אין װענ אַרײן" צו דער תּנאָים.
ashtetl-1422|ר' יצחק יודעל'ס איז דורך דער צײט אין ר' יחזקאל'ס טוב אַ גאַנצער בעל-הבית געװאָרען, ער האָט זיך מיט װײב און קינד אַרײנגעצױגען.|ר' יצחק יודעל'ס איז דורך דער צײט אין ר' יחזקאל'ס טוב אַ גאַנצער בעל-הבית געװאָרען, ער האָט זיך מיט װײב און קינד אַרײנגעצױגען.
ashtetl-1423|און חײם'ל קונצענמאַכער, דאָס װײ|און חײם'ל קונצענמאַכער, דאָס װײ
ashtetl-1424|דישע יודעל, שלאָפט אַפילו שױן בײ נאַכט האָרט.|דישע יודעל, שלאָפט אַפילו שױן בײ נאַכט האָרט.
ashtetl-1425|און די װײבער לױפען, שרײען, אַלע זײנען פערטון, װי מען װאָלט יעדער פון זײ אַ פּעקעל אױף דער האַנד געלעגט, און זי װײס נישט װוּ זיך מיט אַהינצוטון.|און די װײבער לױפען, שרײען, אַלע זײנען פערטון, װי מען װאָלט יעדער פון זײ אַ פּעקעל אױף דער האַנד געלעגט, און זי װײס נישט װוּ זיך מיט אַהינצוטון.
ashtetl-1426|צום שפּעטסטען זײנען געקומען יטה'לע און הינדה'לע, די שנור מיט די טאָכטער.|צום שפּעטסטען זײנען געקומען יטה'לע און הינדה'לע, די שנור מיט די טאָכטער.
ashtetl-1427|זײ האָבען אַ טבע זיך לאַנג צו לאָזען בעטען, און זײנען אַרײנגעקומען, װי פון הימעל אַראָבגעפאַלען.|זײ האָבען אַ טבע זיך לאַנג צו לאָזען בעטען, און זײנען אַרײנגעקומען, װי פון הימעל אַראָבגעפאַלען.
ashtetl-1428|עס הריסט : זײ הױבען גאָר נישט אָן צו װיסען פון קײן פּותר מן קײן חלו, און פרעגען זיך תּם'עװאַטע : װאָס מאַכט מען דאָ?|עס הריסט : זײ הױבען גאָר נישט אָן צו װיסען פון קײן פּותר מן קײן חלו, און פרעגען זיך תּם'עװאַטע : װאָס מאַכט מען דאָ?
ashtetl-1429|הױבט י מאַמע א צו דערצעהלען, הען זײ „פּשעטע" די אסלען אואָ, זעע זיך צום סוף אַנידער יעדע אין איהר װינקעל אַדײן, בּערקרען ד שנעבלע, און װילען זיך נישט „מישען".|הױבט י מאַמע א צו דערצעהלען, הען זײ „פּשעטע" די אסלען אואָ, זעע זיך צום סוף אַנידער יעדע אין איהר װינקעל אַדײן, בּערקרען ד שנעבלע, און װילען זיך נישט „מישען".
ashtetl-1430|— װאָס זײנט איהר ברוגז?|— װאָס זײנט איהר ברוגז?
ashtetl-1431|— בעט זיך די שמע אר ד שװיגער.|— בעט זיך די שמע אר ד שװיגער.
ashtetl-1432|— איך בין ברעז?|— איך בין ברעז?
ashtetl-1433|— אכט אַ חן'עװדיק שנעבעלע יטהלע און גיט אַ דעה אַװעק מיט'ן קאָפּ.|— אכט אַ חן'עװדיק שנעבעלע יטהלע און גיט אַ דעה אַװעק מיט'ן קאָפּ.
ashtetl-1434|— איך בין ברוגז?|— איך בין ברוגז?
ashtetl-1435|— גיט הינדעלע אַ חן'עװדיק שמײכעלע.|— גיט הינדעלע אַ חן'עװדיק שמײכעלע.
ashtetl-1436|און אַ לאָק גיט זיך איהר אַ װאָרף איבער'ן שטערן.|און אַ לאָק גיט זיך איהר אַ װאָרף איבער'ן שטערן.
ashtetl-1437|און מען זיצט װי אָנגעזאָטעלט און מען קוקט פון דערװײטער זיך צו, והאָס די מאַמע מיט די יודענעס מהעען, און מען רופט זיך, הײסט עס, קײן װאָרט נישט אָן.|און מען זיצט װי אָנגעזאָטעלט און מען קוקט פון דערװײטער זיך צו, והאָס די מאַמע מיט די יודענעס מהעען, און מען רופט זיך, הײסט עס, קײן װאָרט נישט אָן.
ashtetl-1438|די מאַמע דרעהט זיך, לױפט אַהין און אַהער און קוקט די שנור מיט די טאָכער אין די אױגען אַרײן, װי זי װאָלט מורא האָבען : װײס איך?|די מאַמע דרעהט זיך, לױפט אַהין און אַהער און קוקט די שנור מיט די טאָכער אין די אױגען אַרײן, װי זי װאָלט מורא האָבען : װײס איך?
ashtetl-1439|גוט אַזױ?|גוט אַזױ?
ashtetl-1440|— װאָס זאָל מען די כלה אָנטון?|— װאָס זאָל מען די כלה אָנטון?
ashtetl-1441|פרעגט די מאַמע.|פרעגט די מאַמע.
ashtetl-1442|— װײס איך?|— װײס איך?
ashtetl-1443|זאָל זי זאָגען, װאַרפט הינדעלע מיט אַן אױנ צו יטה'לען.|זאָל זי זאָגען, װאַרפט הינדעלע מיט אַן אױנ צו יטה'לען.
ashtetl-1444|— זאָג איהר, אַז זי זאָל זיך פערדרעהען איהר קאָפּ — בעפעהלט יטה'לע די מאַמע.|— זאָג איהר, אַז זי זאָל זיך פערדרעהען איהר קאָפּ — בעפעהלט יטה'לע די מאַמע.
ashtetl-1445|די מאַמע הױבט זיך אױף פון די קאַסטענס אין װעלכע זי אַקמ די קלײדער אײן און פערלעגט די הענד בײ די באָקעס :|די מאַמע הױבט זיך אױף פון די קאַסטענס אין װעלכע זי אַקמ די קלײדער אײן און פערלעגט די הענד בײ די באָקעס :
ashtetl-1446|— אַהאַ, איך מאַך דאָך שױן פּיעטשע אַ שטיקעל שמחה!|— אַהאַ, איך מאַך דאָך שױן פּיעטשע אַ שטיקעל שמחה!
ashtetl-1447|אַ פרחמארגש האט מען די פרהר געשפּאַנט.|אַ פרחמארגש האט מען די פרהר געשפּאַנט.
ashtetl-1448|איז דערף געפאהריען, איז ,װעלכען עס האבען געזאלט זײן די תּנאים איז מיטען װעג.|איז דערף געפאהריען, איז ,װעלכען עס האבען געזאלט זײן די תּנאים איז מיטען װעג.
ashtetl-1449|נאטע הא אױסגעציערט די פערד.|נאטע הא אױסגעציערט די פערד.
ashtetl-1450|אײנגעםגדען זײ 'בלױע און רױטע סטענגעל'ער אין די פלאכטען האר אױף די ריעענס.|אײנגעםגדען זײ 'בלױע און רױטע סטענגעל'ער אין די פלאכטען האר אױף די ריעענס.
ashtetl-1451|אַרונטדגע!בונדען די װײדלען.|אַרונטדגע!בונדען די װײדלען.
ashtetl-1452|הינטער די שטאדט ה.אט ער אַהאַלבען בױם אבגעבראכען און אַרום די פוהר מיט בשטער בעפּוצט.|הינטער די שטאדט ה.אט ער אַהאַלבען בױם אבגעבראכען און אַרום די פוהר מיט בשטער בעפּוצט.
ashtetl-1453|אַז עס זאל שעז אױסקוקען.|אַז עס זאל שעז אױסקוקען.
ashtetl-1454|אױף דעם ער'עטען װאגען זענען געזעסען די מאַנספּערשױנעז.|אױף דעם ער'עטען װאגען זענען געזעסען די מאַנספּערשױנעז.
ashtetl-1455|דער ר מיט רי יחזקאל'ן.|דער ר מיט רי יחזקאל'ן.
ashtetl-1456|עוזר און לײביל.|עוזר און לײביל.
ashtetl-1457|ר' יצ'חק יודעל'ס מיט ר' שמעיה'ז.|ר' יצ'חק יודעל'ס מיט ר' שמעיה'ז.
ashtetl-1458|אַנ'אַלטער שמש פון רבי'ן.|אַנ'אַלטער שמש פון רבי'ן.
ashtetl-1459|װאס טראגט דעם רבינס איבערגעגאַנגענע קלײדער.|װאס טראגט דעם רבינס איבערגעגאַנגענע קלײדער.
ashtetl-1460|נאהענטע און װײטע קרובים.|נאהענטע און װײטע קרובים.
ashtetl-1461|אין סאַמעטליט.|אין סאַמעטליט.
ashtetl-1462|גערױכערט.|גערױכערט.
ashtetl-1463|װנ חול-ה!מועד.|װנ חול-ה!מועד.
ashtetl-1464|סאַ'מע ציגאַרען.|סאַ'מע ציגאַרען.
ashtetl-1465|אױף די אַנדערע װעגען זענען געזעסען די װײבער מיט'ן געבעקס.|אױף די אַנדערע װעגען זענען געזעסען די װײבער מיט'ן געבעקס.
ashtetl-1466|און ..אנגרײטעכטס".|און ..אנגרײטעכטס".
